Ligand No.,Carbene Ligand,EHOMO(s),ELUMO(s),Et-s,PA,He8_steric,BE(Au),Au-Cl,Au-C,Δ C-A (Au),Δ A-C-B (Au),Q(Au fragm.),BE (Pd),Pd-Cl trans,Pd-C,Δ C-A (Pd),Δ A-C-B (Pd),Q(Pd fragm.),BE (Ru),Ru-C,Δ C-A (Ru),Δ A-C-B (Ru),Q(Ru fragm.),< Cl-Ru-Cl,< P-Ru-P,Ru-Cl,Ru-P
C1,sImN(H)2,-0.1522,0.0204,102.95,268.7861642,2.24,91.66,2.306,1.99,-0.004,3.4,-0.2601,61.02,2.378,1.972,0,4.2,-1.2412,83.37,1.924,0.011,4.3,-0.4503,174.7,174.7,2.441,2.333
C2,sImN(Me)2,-0.1535,0.0173,73.17,274.6289052,17.94,91.2,2.309,2.002,-0.002,3.4,-0.2668,50.51,2.383,1.97,0,2.9,-1.303,69.24,1.96,0.024,1.6,-0.4192,155.2,173.3,2.431,2.338
C3,sImN(iPr)2,-0.1505,0.0194,85.69,280.2796282,25.67,92.46,2.314,2.007,0,3.3,-0.2733,53.56,2.385,1.971,0,2.9,-1.3013,67.77,1.972,0.022,1,-0.44513,156.4,170.1,2.434,2.337
C4,sImN(Ph)2,-0.1559,-0.0389,50.38,281.8527945,12.5,94.03,2.31,1.998,0.006,3,-0.2298,55.9,2.376,1.963,0.011,2.5,-1.2296,69.93,1.938,0.033,0.2,-0.38356,157.5,162.2,2.422,2.346
C5,sImN(Dipp)2,-0.1686,-0.0446,60.4596325822721,279.123128204546,20.8521970541778,87.0337714697772,2.316,1.993,-0.00700000000000012,2.60000000000001,-0.2541,49.2189938459385,2.377,1.955,0.00099999999999989,2.10000000000001,-1.2446,58.3109085157349,1.937234,0.0296929999999997,-0.031842999999995,-0.41101,163.528649,153.467643,2.4269175,2.3410335
C6,sImN(Mes)2,-0.1588,-0.0326,42.06,283.2502582,17.4,90.95,2.318,1.992,-0.002,3.3,-0.2593,48.9,2.379,1.99,0.007,1.9,-1.1959,67.45,1.951,0.026,0.4,-0.4239,162.9,154.4,2.432,2.338
C7,"sImN(2,6-Me-C6H3)2",-0.165,-0.0367,69.52,279.6954169,18.66,89.11,2.314,1.994,-0.005,3,-0.2546,47.81,2.379,1.996,0.004,1.7,-1.1779,65.78,1.95,0.026,-0.2,-0.41501,162.3,154.1,2.431,2.34
C8,ImN(H)2,-0.161,0.0107,82.53,265.8902079,2.24,90.29,2.304,1.99,-0.013,3.5,-0.2622,61.62,2.374,1.974,-0.016,4.5,-1.2458,80.27,1.944,-0.01,4.4,-0.4694,176.1,175.4,2.449,2.33
C9,ImN(Me)2,-0.1588,0.0073,83.66,273.6330476,13.62,90.44,2.31,1.995,-0.012,3.4,-0.278,50.87,2.382,1.975,-0.011,3.3,-1.2925,68.54,1.973,0.008,2.1,-0.4384,157.3,173,2.434,2.336
C10,ImN(iPr)2,-0.1563,0.0134,84.27,279.3233037,24.21,92.35,2.313,2.003,-0.009,3.4,-0.2792,52.37,2.387,1.973,-0.011,3.4,-1.306,67.35,1.982,0.011,2.1,-0.45802,157.7,172.3,2.438,2.334
C11,ImN(tBu)2,-0.1515,0.0138,81.75,282.0862281,67.59,88.12,2.318,2.012,-0.001,3.3,-0.2614,44.51,2.385,1.997,0.004,2.8,-1.2768,29.09,2.007,0.041,1.7,-0.4064,146.1,160.6,2.44,2.349
C12,ImN(Cy)2,-0.1546,0.0145,84.42,282.6233762,24.63,92.92,2.314,2.003,-0.01,3.4,-0.2837,52.74,2.386,1.974,-0.012,3.3,-1.3028,67.56,1.984,0.01,2.2,-0.46032,157.2,172.8,2.438,2.334
C13,ImN(Ph)2,-0.1752,-0.0515,68.34,273.197556,19.42,82.35,2.312,1.993,-0.006,2.1,-0.2613,44.93,2.374,1.972,-0.001,2.1,-1.2398,60.04,1.953,0.019,0.5,-0.41743,160.9,162.4,2.428,2.341
C14,ImN(Bn)2,-0.1669,-0.0393,-,278.884674594505,19.2118872211815,91.2738288361443,2.31,2,-0.00999999999999979,3.3,-0.2768,54.4122624679532,2.377,1.972,-0.0109999999999999,3.3,-1.2756,67.5294348427202,1.973,0.01,2,-0.4266,157.9,170.7,2.436,2.338
C15,ImN(Dipp)2,-0.1712,-0.037,81.38,282.150234,19.57,90.42,2.317,1.99,-0.011,3.2,-0.2567,45.49,2.374,1.986,-0.001,2.3,-1.2308,59.75,1.951,0.02,1,-0.44037,164.3,155,2.428,2.335
C16,ImN(Mes)2,-0.1645,-0.0347,47.61,283.0055295,15.7,90.45,2.315,1.994,-0.009,3.2,-0.2651,48.54,2.379,1.996,-0.001,2.3,-1.1934,66.13,1.954,0.016,1.3,-0.43828,164.7,155.7,2.434,2.335
C17,"ImN(2,6-Me-C6H3)2",-0.1668,-0.04,75.11,281.0175794,15.42,90.23,2.314,1.993,-0.011,3.2,-0.2618,49.11,2.376212,1.995,-0.002,2.3,-1.1871,65.99,1.954,0.0155,1.3,-0.431,164.5,155.3,2.434,2.336
C18,ImN(Ad)2,-0.1545,0.0197,84.89,285.03,74.33,88.51,2.325,2.013,-0.001,3.2,-0.2663,44.33,2.384,2.003,0.005,2.8,-1.2704,36.42,2.043,0.036,1.4,-0.4118,122.9,177.9,2.435,2.335
