Bidentate Phosphine Ligand,EHOMO_P1,EHOMO_P2,ELUMO_P1,ELUMO_P2,PA_P1,PA_P2,He8_wedge,nHe8,BE(Zn),Zn-Cl,<P1-Zn-P2,ΔP1-R(Zn),ΔP2-R(Zn),ΔR-P1-R(Zn),ΔR-P2-R(Zn),ΔZn-P1,ΔZn-P2,Q(Zn),BE(Pd),Pd-Cl,<P1-Pd-P2,ΔP1-R(Pd),ΔP2-R(Pd),ΔR-P1-R(Pd),ΔR-P2-R(Pd),ΔPd-P1,ΔPd-P2,Q(Pd)
dppm,-0.1890,-0.1890,-0.0477,-0.0477,239.20,239.20,11.19,11.10,29.85,2.269,69.5,-0.008,-0.009,4.8,5.0,-0.001,-0.021,-0.1107,86.13,2.379,74.4,-0.015,-0.014,6.6,6.7,0.017,0.018,-0.7923
dmpm,-0.1905,-0.1905,0.0327,0.0327,233.00,233.00,12.72,12.40,27.78,2.258,68.3,-0.014,-0.014,4.9,4.9,0.000,0.005,-0.1205,82.09,2.37,75.4,-0.017,-0.017,8.2,8.2,0.000,-0.001,-0.8211
d(tBu)pm,-0.1788,-0.1788,0.0225,0.0225,245.67,245.67,27.53,27.05,30.71,2.281,71.1,0.000,0.000,4.2,4.2,0.003,0.003,-0.1101,85.31,2.384,77.3,0.002,0.000,4.9,4.9,0.036,0.035,-0.8061
d(F)pm,-0.2166,-0.2166,-0.0774,-0.0774,222.41,222.41,10.75,10.61,21.65,2.686,65.2,-0.023,-0.020,4.8,4.0,0.021,0.078,-0.0493,65.04,2.351,75.1,-0.019,-0.017,6.1,5.9,0.009,0.015,-0.6591
NH(PPh2)2,-0.1852,-0.1852,-0.0462,-0.0462,241.21,241.21,8.82,8.71,30.51,2.262,66.3,-0.016,-0.018,4.0,4.4,0.015,-0.008,-0.1084,83.03,2.368,73.1,-0.023,-0.021,5.2,5.2,0.011,0.017,-0.7777
N(CH3)(PPh2)2,-0.1852,-0.1852,-0.0462,-0.0462,241.21,241.21,13.18,9.65,31.73,2.264,65.9,-0.016,-0.018,2.7,3.2,0.000,-0.012,-0.0918,85.74,2.366,73.0,-0.024,-0.024,4.2,4.2,0.009,0.014,-0.7788
dmpe,-0.1905,-0.1905,0.0327,0.0327,233.00,233.00,15.99,14.78,34.77,2.268,82.0,-0.018,-0.018,4.5,4.4,-0.047,-0.045,-0.132,99.99,2.388,88.3,-0.022,-0.023,6.5,6.5,-0.006,-0.007,-0.8559
dppe,-0.1890,-0.1890,-0.0477,-0.0477,239.20,239.20,17.24,15.95,34.78,2.276,82.5,-0.014,-0.014,3.9,4.0,-0.036,-0.045,-0.1067,94.42,2.383,87.4,-0.015,-0.015,4.0,3.9,0.025,0.027,-0.7815
d(tBu)pe,-0.1788,-0.1788,0.0225,0.0225,245.67,245.67,29.64,32.76,38.52,2.299,85.7,-0.009,-0.009,3.1,3.1,-0.054,-0.054,-0.1071,95.53,2.391,90.3,-0.001,-0.001,1.9,1.9,0.051,0.050,-0.7948
d(Ome)pe,-0.2013,-0.2013,0.0043,0.0043,227.36,227.36,12.80,12.38,31.89,2.264,78.7,-0.027,-0.027,3.5,3.5,-0.034,-0.032,-0.1554,97.35,2.385,86.0,-0.037,-0.033,4.0,3.9,-0.002,-0.013,-0.8614
