,SMILES,NMR Acceptor Number (AN),Water Exchange Rate (WERC),pK$_h$,Electrostatic Acceptor Number (E$_a$),Covalent Acceptor Number (C$_a$),Infrared Xanthone Complexes (IrX),Infrared TPPO Complexes (IrTPPO),Infrared EthylAcetate Complexes (IrAcOEt),Oxidation Peak (Ox),Complexing Power (CP)
0,C1=CCCC=CCC1.[Cl-].[Rh+],,,,4.93,1.25,,,,,
1,C1=Cc2nc1c(-c1ccccc1)c1ccc([n-]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([n-]3)c2-c2ccccc2)C=C1.[Co+2],,,,4.44,0.58,,,,,
2,C1=Cc2nc1c(-c1ccccc1)c1ccc([n-]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([n-]3)c2-c2ccccc2)C=C1.[Zn+2],,,,5.15,620.0,,,,,
3,CC(=N\[O-])/C(C)=N/O.CC(=N\[O-])/C(C)=N/O.C[Co+2],,,,9.14,1.53,,,,,
4,CC(=O)/C=C(/C)[O-].CC(=O)/C=C(/C)[O-].[O-2].[V+4],103.8,,,,,,,,,
5,CC(C)(C)[P+]1(C(C)(C)C)CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c21,87.3,,,,,,,,,
6,CC(C)(C)[P+]1(C(C)(C)C)CB(c2cc(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c21,85.7,,,,,,,,,
7,CC(C)(C)[PH+](c1c(F)c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c1F)C(C)(C)C,80.2,,,,,,,,,
8,CC(C)[P+](c1c(F)c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c1F)(C(C)C)C(C)C,85.6,,,,,,,,,
9,CCCCCCCC[Si]1(C)OB(c2cccc([N+](=O)[O-])c2)OB(c2cccc([N+](=O)[O-])c2)O[Si](C)(CCCCCCCC)O1,62.0,,,,,,,,,
10,CN(CCC/N=C/c1ccccc1[O-])CCC/N=C/c1ccccc1[O-].[Ni+2],,,,3.94,500.0,,,,,
11,C[Si](C)(C)[N-][Si](C)(C)C.C[Si](C)(C)[N-][Si](C)(C)C.[Zn+2],,,,5.16,1.07,,,,,
12,C[Sn+](C)C.[Cl-],63.8,,,5.76,0.03,,,,,
13,Cc1cc(C)c([PH+](c2c(C)cc(C)cc2C)c2c(F)c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2F)c(C)c1,84.6,,,,,,,,,
14,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c([P+](C3CCCCC3)(C3CCCCC3)C3CCCCC3)c2F)c(F)c1F,85.2,,,,,,,,,
15,O=C(/C=C(\[O-])C(F)(F)F)C(F)(F)F.O=C(/C=C(\[O-])C(F)(F)F)C(F)(F)F.[Cu+2],,,,3.46,1.32,,,,,
16,O=[N+]([O-])c1cccc(B2OB(c3cccc([N+](=O)[O-])c3)OB(c3cccc([N+](=O)[O-])c3)O2)c1,52.6,,,,,,,,,
17,O=[N+]([O-])c1cccc(B2OB(c3cccc([N+](=O)[O-])c3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)c1,46.0,,,,,,,,,
18,[Ag+],65.9,5.0,12.0,,,,,,,
19,[Al+3],,1.6e-06,4.97,,,,,,,2.35
20,[Al+3].[Br-].[Br-].[Br-],,,,,,163.0,,138.0,,
21,[Al+3].[Cl-].[Cl-].[Cl-],106.2,,,,,,-35.0,117.0,,
22,[Ba+2],50.7,60.0,13.47,,,,,,,0.28
23,[Bi+3],,,1.09,,,,-51.0,,,
24,[Bi+3].[Br-].[Br-].[Br-],,,,,,,-46.0,,,
25,[Bi+3].[Cl-].[Cl-].[Cl-],,,,,,59.0,-40.0,,,
26,[Br-].[Br-].[Br-].[Br-].[Sn+4],,,,,,136.0,,111.0,,
27,[Br-].[Br-].[Br-].[Br-].[Ti+4],,,,,,181.0,,128.0,,
28,[Br-].[Br-].[Br-].[Fe+3],,,,,,154.0,,,,
29,[Br-].[Br-].[Br-].[In+3],,,,,,,,107.0,,
30,[Br-].[Br-].[Ca+2],,,,,,52.0,,,,
31,[Br-].[Br-].[Cd+2],,,,,,,-35.0,,,
32,[Br-].[Br-].[Hg+2],,,,,,54.0,-34.0,,,
33,[C-]#[O+].[C-]#[O+].[Cl-].[Rh+],,,,8.72,2.02,,,,,
34,[Ca+2],61.3,50.0,12.85,,,,,,0.19,0.5
35,[Ca+2].[Cl-].[Cl-],,,,,,47.0,,,,
36,[Cd+2],60.5,100.0,10.08,,,,,,0.27,1.3
37,[Cd+2].[Cl-].[Cl-],,,,,,34.0,-14.0,,,
38,[Ce+3],63.3,270.0,8.3,,,,,,,
39,[Ce+4],82.1,,,,,,,,,
40,[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Nb+5],106.1,,,,,,,,,
41,[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Sb+5],,,,,,252.0,,,,
42,[Cl-].[Cl-].[Cl-].[Cl-].[Ge+4],,,,,,,,4.0,,
43,[Cl-].[Cl-].[Cl-].[Cl-].[Sn+4],,,,,,133.0,,128.0,,
44,[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],,,,,,175.0,,128.0,,
45,[Cl-].[Cl-].[Cl-].[Cl-].[Zr+4],,,,,,167.0,,128.0,,
46,[Cl-].[Cl-].[Cl-].[Cr+3],,,,,,,-34.0,,,
47,[Cl-].[Cl-].[Cl-].[Fe+3],,,,,,141.0,-43.0,85.0,,
48,[Cl-].[Cl-].[Cl-].[Ga+3],,,,,,,-34.0,141.0,,
49,[Cl-].[Cl-].[Cl-].[In+3],,,,,,59.0,-34.0,113.0,,
50,[Cl-].[Cl-].[Cl-].[Ru+3],116.2,,,,,,,,,
51,[Cl-].[Cl-].[Cl-].[Sb+3],,,,,,,-76.5,,,
